
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 2.333 [ngc_7027 | *descoberta | edouard_jean_marie_stephan] - [2.000 0.333 0.000]
1 2.333 [cometa_west | *descoberta | richard_m._west] - [2.000 0.333 0.000]
2 2.333 [quark_bottom | *descoberta | leon m. lederman em 1977] - [2.000 0.333 0.000]
3 2.333 [ngc_248 | *descoberta | john frederick william herschel] - [2.000 0.333 0.000]
4 2.333 [ngc_249 | *descoberta | james_dunlop] - [2.000 0.333 0.000]
5 2.333 [tau_(particula) | *descoberta | martin lewis perl, 1975] - [2.000 0.333 0.000]
6 2.333 [santa_maria_(cratera) | *descoberta | opportunity_(sonda)] - [2.000 0.333 0.000]
7 2.333 [4957_brucemurray | *descobridor | eleanor_f._helin] - [2.000 0.333 0.000]
8 2.333 [(285263)_1998_qe2 | *descobridor | lincoln_near_earth_asteroid_research] - [2.000 0.333 0.000]
9 2.333 [2004_pd112 | *descobridor | marc_w._buie] - [2.000 0.333 0.000]
10 2.333 [2005_lc54 | *descobridor | canada_france_ecliptic_plane_survey] - [2.000 0.333 0.000]
11 2.333 [2005_jz174 | *descobridor | marc_w._buie] - [2.000 0.333 0.000]
12 2.333 [2002_cx224 | *descobridor | marc_w._buie] - [2.000 0.333 0.000]
13 2.333 [2003_qa112 | *descobridor | marc_w._buie] - [2.000 0.333 0.000]
14 2.333 [2008_so266 | *descobridor | m. e. schwamb] - [2.000 0.333 0.000]
15 2.333 [2008_so266 | *descobridor | m. e. brown] - [2.000 0.333 0.000]
16 2.333 [2008_so266 | *descobridor | d. l. rabinowitz] - [2.000 0.333 0.000]
17 2.333 [2002_xe91 | *descobridor | marc_w._buie] - [2.000 0.333 0.000]
18 2.333 [2004_pt107 | *descobridor | marc_w._buie] - [2.000 0.333 0.000]
19 2.333 [20000_varuna | *descobridor | robert_s._mcmillan] - [2.000 0.333 0.000]
20 2.333 [50000_quaoar | *descobridor | chad_trujillo] - [2.000 0.333 0.000]
21 2.333 [50000_quaoar | *descobridor | michael_e._brown] - [2.000 0.333 0.000]
22 2.333 [proton | *descoberta | ernest_rutherford] - [2.000 0.333 0.000]
23 2.333 [eletron | *descoberta | j._j._thomson] - [2.000 0.333 0.000]
24 2.333 [4_vesta | *descobridor | heinrich_wilhelm_olbers] - [2.000 0.333 0.000]
25 2.333 [nebulosa_de_orion | *descoberta | nicolas-claude peiresc] - [2.000 0.333 0.000]
26 2.333 [hale_bopp | *descoberta | alan hale e] - [2.000 0.333 0.000]
27 2.333 [hale_bopp | *descoberta | thomas_bopp] - [2.000 0.333 0.000]
28 2.333 [boson_de_higgs | *descoberta | uma particula compativel foi encontrada pelo atlas e pelo cms] - [2.000 0.333 0.000]
29 2.333 [bosons_w_e_z | *descoberta | colaboracoes de ua1 e ua2, 1983] - [2.000 0.333 0.000]


Time: 8684528100ns
Time: 8684.5281ms
Time: 8.6845281s
